id,company,public_repos,followers,following,public_gists,hireable,location_category,language
0,1,20.0,24.0,12.0,1.0,0,1,0
2,1,12.0,41.0,57.0,0.0,0,0,1
3,0,25.0,26.0,36.0,4.0,1,1,2
4,1,44.0,3.0,13.0,0.0,1,0,3
5,0,4.0,6.0,23.0,0.0,0,0,0
6,1,79.0,29.0,44.0,67.0,0,0,4
7,1,53.0,22.0,28.0,0.0,1,1,0
8,1,7.0,40.0,61.0,0.0,1,0,0
10,1,217.0,293.0,879.0,36.0,1,1,3
11,1,24.0,14.0,2.0,8.0,0,1,0
12,1,24.0,14.0,22.0,3.0,1,0,0
13,1,98.0,25.0,10.0,3.0,0,1,0
15,1,320.0,77.0,174.0,4.0,0,0,0
16,0,254.0,36.0,14.0,50.0,0,1,0
17,1,41.0,19.0,16.0,6.0,1,0,0
19,1,26.0,117.0,644.0,70.0,0,1,5
22,1,29.0,85.0,51.0,23.0,0,1,0
23,0,102.0,101.0,38.0,14.0,0,1,0
24,0,90.0,47.0,100.0,56.0,1,1,3
25,1,91.0,45.0,80.0,0.0,0,0,0
28,0,37.0,54.0,17.0,23.0,1,1,7
29,0,133.0,16.0,32.0,23.0,1,0,8
30,0,4.0,8.0,44.0,3.0,1,0,8
31,1,42.0,0.0,0.0,7.0,0,0,9
32,1,85.0,5.0,5.0,0.0,0,0,3
33,0,6.0,19.0,1.0,0.0,0,1,3
34,1,12.0,27.0,21.0,0.0,0,1,3
35,1,71.0,53.0,142.0,0.0,0,0,0
36,0,15.0,5.0,69.0,3.0,0,0,0
37,0,37.0,11.0,13.0,28.0,0,1,1
39,1,41.0,9.0,1.0,1.0,0,1,7
41,1,15.0,7.0,27.0,0.0,0,1,8
42,0,73.0,423.0,131.0,452.0,0,1,0
43,1,16.0,18.0,29.0,0.0,1,0,9
44,1,18.0,3.0,4.0,0.0,0,1,7
46,1,46.0,17.0,7.0,5.0,1,0,0
47,1,110.0,13.0,8.0,3.0,0,0,3
48,0,55.0,115.0,1738.0,1.0,1,0,3
49,1,18.0,99.0,37.0,2.0,1,1,3
50,1,30.0,16.0,24.0,8.0,1,1,0
51,0,50.0,34.0,27.0,3.0,1,1,0
53,1,74.0,26.0,15.0,7.0,0,1,0
54,1,55.0,18.0,26.0,4.0,1,1,0
56,1,167.0,1410.0,55.0,4.0,1,1,3
57,1,9.0,11.0,8.0,13.0,1,1,0
58,0,72.0,53.0,78.0,149.0,1,0,7
59,1,49.0,31.0,33.0,4.0,1,1,3
60,1,41.0,29.0,2.0,1.0,0,0,0
61,1,130.0,25.0,103.0,18.0,1,0,0
62,1,42.0,41.0,8.0,0.0,0,0,3
63,1,32.0,24.0,12.0,1.0,1,0,6
64,0,109.0,10.0,26.0,3.0,0,1,0
65,1,133.0,41.0,46.0,24.0,1,1,0
66,0,476.0,46.0,46.0,18.0,1,1,3
67,0,57.0,297.0,246.0,2.0,1,0,10
68,0,24.0,68.0,44.0,14.0,1,0,4
69,1,118.0,128.0,32.0,16.0,0,1,0
70,1,112.0,37.0,72.0,2.0,0,1,0
71,0,171.0,25.0,104.0,32.0,1,1,0
72,0,51.0,13.0,47.0,17.0,1,1,10
73,1,711.0,33269.0,43.0,258.0,0,1,0
74,1,76.0,71.0,24.0,2.0,1,0,0
75,1,31.0,57.0,37.0,0.0,1,0,0
76,1,20.0,23.0,3.0,13.0,0,0,0
77,1,42.0,87.0,88.0,1.0,1,0,11
78,1,68.0,143.0,42.0,1.0,1,0,3
79,1,17.0,14.0,32.0,0.0,1,1,3
80,1,24.0,8.0,6.0,0.0,0,1,0
81,1,46.0,32.0,136.0,21.0,0,0,0
82,1,6.0,9.0,5.0,0.0,0,0,10
83,1,32.0,70.0,35.0,0.0,1,0,3
86,1,60.0,662.0,7.0,45.0,1,1,8
87,1,92.0,394.0,1.0,43.0,0,1,0
88,1,49.0,756.0,32.0,26.0,0,1,5
89,0,12.0,34.0,49.0,3.0,1,0,4
90,1,12.0,77.0,57.0,0.0,0,0,3
91,1,178.0,79.0,72.0,11.0,1,1,7
92,1,15.0,551.0,12.0,63.0,0,1,8
93,0,37.0,33.0,19.0,7.0,1,0,0
94,1,122.0,1378.0,69.0,1.0,0,0,0
96,1,36.0,34.0,5.0,2.0,0,1,0
97,1,68.0,98.0,25.0,17.0,0,1,0
98,0,68.0,123.0,349.0,77.0,0,1,5
99,1,115.0,299.0,1315.0,2.0,1,1,1
100,1,79.0,40.0,5.0,0.0,0,1,0
101,1,541.0,19.0,424.0,1.0,0,0,3
102,1,15.0,18.0,21.0,0.0,1,1,12
103,1,27.0,23.0,9.0,8.0,0,0,11
104,1,17.0,7.0,59.0,3.0,0,0,12
105,1,66.0,326.0,5.0,11.0,1,0,8
106,1,39.0,62.0,58.0,10.0,0,1,3
107,1,177.0,245.0,45.0,2.0,0,1,0
109,1,10.0,54.0,0.0,0.0,0,1,3
110,1,134.0,4.0,24.0,0.0,1,0,12
111,1,83.0,27.0,83.0,7.0,1,0,8
112,1,35.0,46.0,18.0,0.0,0,1,3
113,1,9.0,50.0,60.0,10.0,0,1,13
114,0,333.0,96.0,18.0,29.0,1,1,9
116,1,62.0,61.0,56.0,14.0,1,1,3
118,1,52.0,43.0,32.0,0.0,1,1,0
119,1,70.0,2632.0,127.0,33.0,0,0,0
120,1,62.0,73.0,141.0,0.0,1,1,1
121,1,96.0,559.0,14.0,6.0,0,0,14
122,1,34.0,15.0,8.0,14.0,0,1,8
123,1,11.0,3.0,9.0,0.0,0,0,8
124,1,104.0,116.0,228.0,45.0,0,0,3
125,1,38.0,68.0,138.0,2.0,0,0,9
126,1,45.0,59.0,21.0,0.0,0,0,1
127,1,25.0,15.0,14.0,3.0,0,1,12
128,1,201.0,7.0,20.0,1.0,0,1,12
130,0,84.0,45.0,39.0,19.0,0,0,3
131,0,29.0,82.0,287.0,73.0,1,1,0
132,0,43.0,3.0,5.0,0.0,0,0,8
133,1,202.0,74.0,5.0,17.0,0,0,3
134,1,267.0,161.0,62.0,51.0,0,1,0
136,1,65.0,37.0,96.0,15.0,1,1,0
137,1,50.0,97.0,175.0,17.0,1,1,16
138,0,15.0,2.0,14.0,0.0,1,1,3
139,1,62.0,48.0,116.0,37.0,1,1,4
140,0,167.0,549.0,102.0,60.0,0,1,4
141,1,136.0,146.0,114.0,20.0,0,1,8
143,1,51.0,73.0,28.0,17.0,1,1,0
144,1,5.0,71.0,401.0,86.0,1,0,16
145,1,36.0,23.0,25.0,2.0,0,1,17
146,0,159.0,35.0,73.0,0.0,0,0,16
149,1,18.0,56.0,31.0,8.0,0,1,16
151,1,27.0,29.0,24.0,23.0,0,1,3
152,0,34.0,32.0,14.0,2.0,1,1,3
154,1,144.0,20.0,19.0,6.0,0,1,0
155,1,21.0,44.0,12.0,3.0,0,1,1
156,0,12.0,39.0,89.0,14.0,1,1,0
158,1,6.0,92.0,74.0,0.0,0,0,11
159,1,805.0,1256.0,8.0,579.0,0,1,3
160,1,56.0,7.0,32.0,8.0,1,0,12
162,1,25.0,44.0,37.0,3.0,0,1,4
163,1,22.0,16.0,11.0,8.0,0,0,16
164,1,39.0,83.0,23.0,60.0,0,1,4
165,1,36.0,26.0,19.0,17.0,0,1,0
166,1,670.0,63.0,345.0,5.0,1,0,3
167,0,25.0,4.0,8.0,9.0,1,1,0
168,1,53.0,228.0,30.0,29.0,0,1,12
169,1,623.0,4.0,11.0,0.0,1,0,0
170,0,14.0,8.0,3.0,0.0,0,1,0
171,1,83.0,15.0,14.0,11.0,0,0,0
173,1,419.0,39.0,248.0,1.0,0,1,3
174,1,51.0,78.0,69.0,21.0,1,1,11
175,1,100.0,0.0,0.0,8.0,0,1,0
176,1,1499.0,38.0,54.0,103.0,1,1,0
177,0,64.0,45.0,42.0,4.0,1,0,0
178,1,120.0,85.0,1.0,97.0,0,1,0
179,1,280.0,155.0,209.0,6.0,1,0,14
180,1,18.0,36.0,26.0,2.0,0,1,1
182,1,13.0,553.0,28.0,0.0,0,1,3
183,1,18.0,16.0,54.0,0.0,0,0,8
184,1,32.0,817.0,91.0,1.0,0,0,0
186,1,12.0,12.0,50.0,1.0,0,1,8
187,0,133.0,30.0,91.0,22.0,1,1,3
188,1,4.0,17.0,15.0,1.0,1,1,7
189,1,190.0,28.0,80.0,3.0,1,1,0
190,0,74.0,133.0,3.0,13.0,0,1,0
191,1,81.0,12.0,20.0,1.0,1,0,12
